year,month,clt_pct,rsds_wm2
1978,10,33.807278,209.26138
1978,11,37.838398,150.45488
1978,12,54.470432,121.74122
1979,1,42.663177,137.43138
1979,2,45.241367,180.96043
1979,3,53.049458,215.54097
1979,4,43.017406,275.5662
1979,5,59.986835,303.81683
1979,6,41.48864,307.00034
1979,7,30.938866,321.27148
1979,8,10.929502,315.65836
1979,9,12.165133,268.601
1979,10,16.018316,218.20633
1979,11,63.341488,121.31585
1979,12,65.39716,111.17091
1980,1,68.29332,108.30018
1980,2,68.64243,169.12935
1980,3,27.077923,269.00754
1980,4,36.102665,287.20078
1980,5,54.08714,305.45947
1980,6,35.328644,336.51495
1980,7,29.407179,330.23657
1980,8,23.187815,293.66165
1980,9,14.736729,257.3357
1980,10,19.406946,224.22409
1980,11,46.34419,165.04404
1980,12,56.283646,109.967606
1981,1,46.189487,134.9345
1981,2,49.543827,166.13066
1981,3,69.25624,215.47867
1981,4,58.294453,264.3487
1981,5,49.918503,296.05676
1981,6,28.46305,341.5606
1981,7,36.425488,330.71442
1981,8,41.15878,308.51535
1981,9,30.012854,246.95168
1981,10,43.12673,200.3892
1981,11,40.127644,160.45354
1981,12,7.7619867,157.3333
1982,1,42.255768,142.87184
1982,2,67.535545,133.75337
1982,3,45.793987,225.42421
1982,4,26.914707,290.55844
1982,5,44.508068,305.82364
1982,6,30.467394,342.21524
1982,7,12.803143,340.71957
1982,8,17.800781,315.644
1982,9,21.799097,264.00952
1982,10,21.146452,203.24922
1982,11,46.639397,151.71423
1982,12,41.939205,125.91308
1983,1,64.78999,130.49754
1983,2,42.323505,182.39046
1983,3,54.17424,203.61676
1983,4,44.862904,292.44186
1983,5,40.76435,305.0199
1983,6,41.87252,327.08148
1983,7,19.797796,334.33807
1983,8,20.916742,292.4165
1983,9,11.5693035,270.19846
1983,10,37.816315,199.50931
1983,11,50.829926,149.5538
1983,12,47.45765,126.816635
1984,1,33.754658,146.27417
1984,2,33.323677,202.83163
1984,3,51.493156,219.1186
1984,4,54.084206,256.78888
1984,5,42.207825,313.77603
1984,6,36.44287,344.44028
1984,7,11.394856,344.35202
1984,8,16.571653,316.22256
1984,9,11.86857,278.57724
1984,10,27.680906,202.16635
1984,11,21.848352,169.17075
1984,12,59.10085,103.69176
1985,1,16.629932,163.72882
1985,2,42.2391,182.68953
1985,3,35.08968,233.40703
1985,4,54.2925,264.95636
1985,5,37.42884,318.44882
1985,6,37.15222,349.50632
1985,7,19.601856,340.7303
1985,8,16.959396,308.83566
1985,9,23.285334,260.12634
1985,10,28.285715,213.80779
1985,11,45.3279,155.01848
1985,12,35.667583,136.75027
1986,1,49.741516,130.58905
1986,2,54.109184,165.62036
1986,3,55.331547,213.13947
1986,4,56.39977,267.5573
1986,5,45.24147,312.48956
1986,6,27.319511,343.70706
1986,7,17.170328,339.94025
1986,8,9.417507,317.15875
1986,9,8.148697,272.03055
1986,10,22.606434,207.97615
1986,11,31.601946,161.23125
1986,12,27.121107,144.16429
1987,1,68.19378,124.56806
1987,2,47.540855,185.56921
1987,3,46.53648,249.29738
1987,4,54.183228,242.63283
1987,5,46.71241,299.51746
1987,6,36.811653,334.14413
1987,7,21.660788,334.4433
1987,8,26.634922,271.14627
1987,9,15.821118,283.2831
1987,10,18.262793,216.68317
1987,11,42.915615,148.44757
1987,12,41.717937,131.37282
1988,1,40.407482,134.6367
1988,2,60.002117,156.15639
1988,3,43.29694,254.50508
1988,4,49.455635,278.52173
1988,5,48.548805,300.64746
1988,6,35.533752,335.32147
1988,7,24.645311,332.26523
1988,8,10.112111,322.2931
1988,9,11.017557,276.6108
1988,10,15.340505,208.43465
1988,11,29.429401,151.97102
1988,12,38.88536,138.7786
1989,1,54.827827,142.80818
1989,2,66.09764,144.38913
1989,3,55.952698,203.7408
1989,4,35.7202,282.3694
1989,5,50.80563,312.40005
1989,6,25.414684,332.42935
1989,7,44.130154,323.08554
1989,8,24.5772,311.2696
1989,9,20.253616,261.92743
1989,10,33.527184,191.59445
1989,11,37.1165,156.92908
1989,12,35.824413,133.72879
1990,1,62.685215,113.48925
1990,2,42.46739,178.59158
1990,3,46.356373,224.99808
1990,4,59.154514,235.65627
1990,5,36.092808,316.80228
1990,6,44.112003,317.20584
1990,7,31.331593,315.16916
1990,8,32.293404,275.7448
1990,9,18.085794,263.75467
1990,10,54.202244,192.24828
1990,11,63.620552,123.36802
1990,12,37.061554,128.45738
1991,1,48.19192,141.98567
1991,2,31.021551,194.45631
1991,3,45.903732,243.08954
1991,4,53.222176,260.6539
1991,5,43.463642,321.58716
1991,6,28.363983,344.51236
1991,7,11.600808,338.20605
1991,8,38.171803,282.42825
1991,9,26.965752,243.03662
1991,10,27.802742,208.10754
1991,11,49.06768,138.85503
1991,12,42.469124,131.14674
1992,1,76.12973,102.89403
1992,2,37.428986,194.17142
1992,3,34.867374,245.924
1992,4,44.506718,276.6848
1992,5,40.333035,320.71603
1992,6,31.706898,341.8995
1992,7,11.580957,338.67514
1992,8,10.285842,316.67407
1992,9,16.981918,260.4384
1992,10,18.011257,219.63808
1992,11,38.92688,151.48833
1992,12,34.525524,133.92767
1993,1,46.05436,146.56871
1993,2,24.06347,207.11362
1993,3,55.036934,200.52603
1993,4,51.999126,252.58865
1993,5,47.922768,302.43842
1993,6,25.65106,343.49387
1993,7,36.796467,304.356
1993,8,19.57708,299.63608
1993,9,19.889753,259.18747
1993,10,11.752477,220.11443
1993,11,40.484688,162.52156
1993,12,63.24361,109.465706
1994,1,51.120926,134.78503
1994,2,57.79409,170.79935
1994,3,63.862167,212.50551
1994,4,55.924683,257.98236
1994,5,41.599274,320.4724
1994,6,46.696526,311.82825
1994,7,21.587008,341.91754
1994,8,22.110462,313.883
1994,9,22.110523,253.76868
1994,10,25.435596,217.24072
1994,11,44.245926,161.13654
1994,12,32.7435,136.2216
1995,1,56.64957,127.962814
1995,2,33.71758,189.34285
1995,3,47.57276,238.47649
1995,4,56.45838,244.65152
1995,5,35.49119,310.9358
1995,6,38.205322,336.11035
1995,7,16.543552,345.7127
1995,8,15.843191,300.03827
1995,9,13.240896,276.21356
1995,10,11.223697,228.14949
1995,11,34.311077,165.46356
1995,12,42.5517,132.26913
1996,1,36.48777,158.97382
1996,2,63.641487,142.04185
1996,3,39.564922,243.98062
1996,4,42.546844,270.85895
1996,5,33.297745,337.8033
1996,6,33.135674,327.37653
1996,7,39.905926,312.4664
1996,8,18.947561,300.11908
1996,9,13.722328,269.53384
1996,10,33.85744,205.47311
1996,11,45.033714,148.35535
1996,12,48.302498,133.3208
1997,1,32.45648,165.66507
1997,2,56.7182,165.44624
1997,3,40.224274,239.6639
1997,4,36.25821,282.7898
1997,5,36.720345,324.4774
1997,6,47.48671,323.43057
1997,7,32.308308,326.21283
1997,8,26.167873,291.9956
1997,9,5.5464706,277.26376
1997,10,12.552039,222.3455
1997,11,20.020819,167.59181
1997,12,25.21646,147.81586
1998,1,27.619453,159.87303
1998,2,51.38934,176.54729
1998,3,44.66998,240.21252
1998,4,56.2588,260.13815
1998,5,38.69035,310.23618
1998,6,32.699383,343.08096
1998,7,44.296238,312.03564
1998,8,11.95227,314.80682
1998,9,28.72093,243.081
1998,10,47.517483,182.37625
1998,11,25.778145,169.68462
1998,12,56.25591,108.32879
1999,1,39.37399,144.25056
1999,2,66.77602,154.12547
1999,3,57.459377,215.12665
1999,4,53.017178,268.44562
1999,5,33.98785,323.34216
1999,6,35.932945,331.10297
1999,7,27.342873,330.0004
1999,8,26.605545,294.75604
1999,9,13.45679,270.8978
1999,10,12.644641,227.19528
1999,11,40.606503,157.78574
1999,12,35.543484,130.29526
2000,1,38.054157,141.33415
2000,2,40.513412,192.39932
2000,3,40.00984,241.11325
2000,4,42.582195,290.26642
2000,5,45.04186,306.1845
2000,6,29.848978,339.02972
2000,7,48.15189,290.59406
2000,8,25.156082,305.0657
2000,9,40.950817,243.21777
2000,10,20.761864,223.76689
2000,11,42.308117,154.9837
