year,month,temp_c,precip_mm
1973,12,9.7686,47.2838
1974,1,11.8927,31.4449
1974,2,11.2966,65.2709
1974,3,14.9904,47.8286
1974,4,17.4079,1.7114
1974,5,15.7067,1.6065
1974,6,19.3642,0.7076
1974,7,21.6244,1.1779
1974,8,22.8612,91.9575
1974,9,23.4552,0.4696
1974,10,21.8998,0.1858
1974,11,15.1664,23.6411
1974,12,9.0631,57.0012
1975,1,7.8755,37.7763
1975,2,9.896,88.4071
1975,3,11.5311,52.3162
1975,4,13.8741,17.2201
1975,5,15.6689,10.7419
1975,6,19.2088,2.2531
1975,7,25.0207,1.2506
1975,8,24.5948,4.4107
1975,9,23.5838,2.901
1975,10,18.1123,1.8758
1975,11,13.887,26.242
1975,12,10.6731,13.059
1976,1,12.3307,29.2722
1976,2,12.1354,6.7932
1976,3,13.0857,2.7282
1976,4,14.4955,23.6574
1976,5,15.573,8.5743
1976,6,18.4569,4.9023
1976,7,20.6207,1.2827
1976,8,23.2023,1.1127
1976,9,21.0289,0.8737
1976,10,18.7563,4.8631
1976,11,12.0067,55.9342
1976,12,12.2278,139.326
1977,1,8.5769,31.8548
1977,2,11.7474,113.0625
1977,3,10.935,130.3923
1977,4,13.7214,69.6485
1977,5,18.2252,13.3921
1977,6,19.6541,1.8028
1977,7,22.1825,1.2316
1977,8,24.334,11.6897
1977,9,22.2771,50.0063
1977,10,17.6653,9.3117
1977,11,14.3152,3.8141
1977,12,11.3714,140.6667
1978,1,8.6903,127.2237
1978,2,11.925,107.2054
1978,3,12.5368,200.1871
1978,4,13.8089,41.9474
1978,5,14.1324,18.0137
1978,6,18.5036,1.3804
1978,7,20.372,2.5458
1978,8,25.3178,0.6201
1978,9,22.2739,14.8138
1978,10,18.9093,4.2995
1978,11,12.433,57.0591
1978,12,11.2395,55.9052
1979,1,10.39,108.2885
1979,2,10.6316,53.6041
1979,3,12.5271,77.6684
1979,4,13.3501,30.0242
1979,5,15.9728,5.4817
1979,6,20.32,5.3667
1979,7,23.2686,6.8101
1979,8,25.6803,0.2999
1979,9,23.1423,1.3121
1979,10,23.2533,0.2229
1979,11,13.3516,179.02
1979,12,10.2186,63.688
1980,1,8.9745,73.6991
1980,2,11.1248,36.0548
1980,3,14.6631,2.5411
1980,4,15.2972,29.5278
1980,5,15.8048,16.8759
1980,6,19.6032,1.829
1980,7,24.3559,0.2224
1980,8,22.8636,1.4782
1980,9,24.0644,80.0617
1980,10,21.1112,0.9319
