lat,lon,zos_m,year,month
32.5,242.49999999999997,0.20380478,1888,2
32.5,242.49999999999997,0.17893456,1888,3
32.5,242.49999999999997,0.17934269,1888,4
32.5,242.49999999999997,0.17527327,1888,5
32.5,242.49999999999997,0.18466997,1888,6
32.5,242.49999999999997,0.18853225,1888,7
32.5,242.49999999999997,0.20565914,1888,8
32.5,242.49999999999997,0.22340067,1888,9
32.5,242.49999999999997,0.21961457,1888,10
32.5,242.49999999999997,0.22629228,1888,11
32.5,242.49999999999997,0.23666717,1888,12
32.5,242.49999999999997,0.2523872,1889,1
32.5,242.49999999999997,0.20759009,1889,2
32.5,242.49999999999997,0.18195805,1889,3
32.5,242.49999999999997,0.16729297,1889,4
32.5,242.49999999999997,0.1505727,1889,5
32.5,242.49999999999997,0.1543754,1889,6
32.5,242.49999999999997,0.17320335,1889,7
32.5,242.49999999999997,0.2048216,1889,8
32.5,242.49999999999997,0.2294048,1889,9
32.5,242.49999999999997,0.2418046,1889,10
32.5,242.49999999999997,0.21749899,1889,11
32.5,242.49999999999997,0.19885074,1889,12
32.5,242.49999999999997,0.19069612,1890,1
32.5,242.49999999999997,0.16211861,1890,2
32.5,242.49999999999997,0.15789929,1890,3
32.5,242.49999999999997,0.15528491,1890,4
32.5,242.49999999999997,0.15243153,1890,5
32.5,242.49999999999997,0.15315513,1890,6
32.5,242.49999999999997,0.16319357,1890,7
32.5,242.49999999999997,0.17748916,1890,8
32.5,242.49999999999997,0.19217162,1890,9
32.5,242.49999999999997,0.17476402,1890,10
32.5,242.49999999999997,0.17143019,1890,11
32.5,242.49999999999997,0.18278448,1890,12
32.5,242.49999999999997,0.1717556,1891,1
32.5,242.49999999999997,0.16693914,1891,2
32.5,242.49999999999997,0.14803894,1891,3
32.5,242.49999999999997,0.14164607,1891,4
32.5,242.49999999999997,0.14097397,1891,5
32.5,242.49999999999997,0.1633452,1891,6
32.5,242.49999999999997,0.19154646,1891,7
32.5,242.49999999999997,0.20248853,1891,8
32.5,242.49999999999997,0.19283172,1891,9
32.5,242.49999999999997,0.24672076,1891,10
32.5,242.49999999999997,0.24927975,1891,11
32.5,242.49999999999997,0.23256767,1891,12
32.5,242.49999999999997,0.2209184,1892,1
32.5,242.49999999999997,0.20100047,1892,2
32.5,242.49999999999997,0.16807884,1892,3
32.5,242.49999999999997,0.13091491,1892,4
32.5,242.49999999999997,0.15527909,1892,5
32.5,242.49999999999997,0.14927264,1892,6
32.5,242.49999999999997,0.15898514,1892,7
32.5,242.49999999999997,0.19062927,1892,8
32.5,242.49999999999997,0.2042118,1892,9
32.5,242.49999999999997,0.19108406,1892,10
32.5,242.49999999999997,0.18528353,1892,11
32.5,242.49999999999997,0.18235753,1892,12
32.5,242.49999999999997,0.18398987,1893,1
32.5,242.49999999999997,0.18816802,1893,2
32.5,242.49999999999997,0.187501,1893,3
32.5,242.49999999999997,0.16902277,1893,4
32.5,242.49999999999997,0.17271863,1893,5
32.5,242.49999999999997,0.17309642,1893,6
32.5,242.49999999999997,0.16836104,1893,7
32.5,242.49999999999997,0.17655171,1893,8
32.5,242.49999999999997,0.20448959,1893,9
32.5,242.49999999999997,0.19356233,1893,10
32.5,242.49999999999997,0.15207231,1893,11
32.5,242.49999999999997,0.15334895,1893,12
32.5,242.49999999999997,0.17678568,1894,1
32.5,242.49999999999997,0.19449505,1894,2
32.5,242.49999999999997,0.15344821,1894,3
32.5,242.49999999999997,0.14331995,1894,4
32.5,242.49999999999997,0.15225278,1894,5
32.5,242.49999999999997,0.1629059,1894,6
32.5,242.49999999999997,0.18053119,1894,7
32.5,242.49999999999997,0.18019658,1894,8
32.5,242.49999999999997,0.19024381,1894,9
32.5,242.49999999999997,0.19486523,1894,10
32.5,242.49999999999997,0.1644533,1894,11
32.5,242.49999999999997,0.153233,1894,12
32.5,242.49999999999997,0.1732799,1895,1
